name,absence,rle,dx,dy,symType,period,required,req dx,req dy,forbidden 1,forbid 1 dx,forbid 1 dy,forbidden 2,forbid 2 dx,forbid 2 dy
mold,4,2o$3o$2obo$2bobo$bo2bo$2b2o!,-3,0,@,4,b2o$6o$7o$b6o$b6o$b6o$b6o!,-3,0,,,,,,
basic domino,4,7b2o2$6bo$5bob3o$3b3o4bo$2bo3bo5bo$2b5o5bo$5bo2bobobo$4obo4bo$o2b2o!,-7,0,@,4,5b7o$3b11o$2b13o$2b13o$b14o$15o$15o$14o$13o!,-8,2,,,,,,
t nosed,4,5bo$5bo$4b3o4$3b5o$2bob3obo$2bobobobo$b2obobob2o$o2b2ob2o2bo$2o7b2o!,-5,0,@,4,5b3o$5b3o$4b5o$3b7o$2b9o$b11o$13o$13o$13o$13o$5o4b4o!,-6,2,,,,,,
fountain,8,9bo2$3b2obo5bob2o$3bo5bo5bo$4b2ob2ob2ob2o2$6b2o3b2o$2o15b2o$o2bo3bobobo3bo2bo$b3ob9ob3o$4bo4bo4bo$3b2o9b2o$3bo11bo$5bo7bo$4b2o7b2o!,-9,0,@,4,3b15o$3b15o$3b15o$2b17o$21o$21o$21o$21o$b19o$2b16o$3b15o$3b15o$4b13o$4b13o!,-10,2,,,,,,
smaller fountain variant,8,7bo2$3b2o5b2o$b2o4bo4b2o$5b2ob2o$bobo7bobo$bo2bobobobo2bo$5obobob5o$o4bo3bo4bo$b3obobobob3o$3bo2bobo2bo$4bobobobo$5b2ob2o!,-7,0,@,4,b15o$b15o$b15o$b15o$17o$17o$17o$17o$b15o$3b11o$4b9o$5b7o!,-8,2,,,,,,
smaller superfountain variant,8,11bo3$5bo2bo5bo2bo$3b2o2bob5obo2b2o$5bo11bo$3bob2o9b2obo$bobo3b3o3b3o3bobo$3obo13bob3o$10bobo$4b3o3bobo3b3o$4bo2bo3bo3bo2bo$3b4o2bobobo2b4o$3b2o2b3obob3o2b2o$2bo3bo3bobo3bo3bo$3bo2bobobobobobo2bo$4bobob2o3b2obobo$5bo11bo!,-11,0,@,4,3b19o$3b19o$3b19o$b23o$25o$25o$25o$2b22o$2b21o$2b21o$2b21o$2b21o$2b21o$3b19o$4b17o$5b15o!,-12,3,,,,,,
superfountain,8,13bo3$9bo7bo$7bo2b7o2bo$7bo11bo$b2o3bo13bo3b2o$bobob2o3b2o3b2o3b2obobo$2bo3bo3b3ob3o3bo3bo$obob2ob2o9b2ob2obobo$2obo2bob2o7b2obo2bob2o$3bobo5b2ob2o5bobo$3bob2o2b2o5b2o2b2obo$bob3o5bo3bo5b3obo$obo2bo15bo2bobo$o2b6o3bobo3b6o2bo$b2o8b2ob2o8b2o$2bob2obo11bob2obo$2bobo5bo5bo5bobo$b2o5b2ob2ob2ob2o5b2o$3b6o9b6o$3bo4bob2o3b2obo4bo$5b4o2bobobo2b4o$b4obob2obobobob2obob4o$bo2bo5bobobobo5bo2bo$6bobobobobobobobo$5b2ob2o3bo3b2ob2o!,-13,0,@,4,7b15o$7b15o$b27o$b27o$b27o$29o$29o$29o$29o$b27o$29o$29o$29o$29o$b27o$b27o$b27o$b27o$b27o$b27o$b27o$b27o$b27o$5b19o$5b19o!,-14,3,16bo29bo3$12bo7bo21bo7bo$10bo2b7o2bo17bo2b7o2bo$10bo11bo17bo11bo$4b2o3bo13bo3b2o5b2o3bo13bo3b2o$4bobob2o3b2o3b2o3b2obobo5bobob2o3b2o3b2o3b2obobo$5bo3bo3b3ob3o3bo3bo7bo3bo3b3ob3o3bo3bo$3bobob2ob2o9b2ob2obobo3bobob2ob2o9b2ob2obobo$3b2obo2bob2o7b2obo2bob2o3b2obo2bob2o7b2obo2bob2o$6bobo5b2ob2o5bobo9bobo5b2ob2o5bobo$6bob2o2b2o5b2o2b2obo9bob2o2b2o5b2o2b2obo$4bob3o5bo3bo5b3obo5bob3o5bo3bo5b3obo$3bobo2bo15bo2bobo3bobo2bo15bo2bobo$3bo2b6o3bobo3b6o2bo3bo2b6o3bobo3b6o2bo$4b2o8b2ob2o8b2o5b2o8b2ob2o8b2o$5bob2obo11bob2obo7bob2obo11bob2obo$5bobo5bo5bo5bobo7bobo5bo5bo5bobo$4b2o5b2ob2ob2ob2o5b2o5b2o5b2ob2ob2ob2o5b2o$6b6o9b6o9b6o9b6o$6bo4bob2o3b2obo4bo9bo4bob2o3b2obo4bo$8b4o2bobobo2b4o13b4o2bobobo2b4o$b2ob4obob2obobobob2obob4o5b4obob2obobobob2obob4ob2o$obobo2bo5bobobobo5bo2bo5bo2bo5bobobobo5bo2bobobo$bo7bobobobobobobobo15bobobobobobobobo7bo$8b2ob2o3bo3b2ob2o13b2ob2o3bo3b2ob2o!,-16,0,,,
medium LW emulator,8,8bo2bo3$6b8o$6b2o4b2o$5b2o6b2o$5bo8bo2$4bobobo2bobobo$4bo2bo4bo2bo$b2o4bo4bo4b2o$ob16obo$o18bo$b5o8b5o$3bobo2bo2bo2bobo$5b4o2b4o$b4o10b4o$bo2bobo6bobo2bo$5b2o6b2o!,-8,0,@,4,6b10o$6b10o$5b12o$5b12o$4b14o$4b14o$3b16o$b20o$22o$22o$22o$22o$b20o$b20o$b20o$b20o$b20o$4b15o!,-9,2,11bo2bo3$9b8o$9b2o4b2o$8b2o6b2o$8bo8bo2$7bobobo2bobobo$7bo2bo4bo2bo$4b2o4bo4bo4b2o$3bob16obo$3bo18bo$4b5o8b5o$6bobo2bo2bo2bobo$8b4o2b4o$b2ob4o10b4o$obobo2bobo6bobo2bo$bo6b2o6b2o!,-11,0,8bo2bo3$6b8o$6b2o4b2o$5b2o6b2o$5bo8bo2$4bobobo2bobobo$4bo2bo4bo2bo$b2o4bo4bo4b2o$ob16obo$o18bo$b5o8b5o$3bobo2bo2bo2bobo$5b4o2b4o$b4o10b4ob2o$bo2bobo6bobo2bobobo$5b2o6b2o6bo!,-8,0
MW emulator,8,7bo$2b2obo3bob2o$2bo9bo$3b2o5b2o$3o2b5o2b3o$o2bo7bo2bo$b2o9b2o!,-7,0,@,4,2b3o7b3o$2b3o7b3o$2b13o$17o$17o$17o$17o$b4o7b4o!,-8,0,,,,,,
blocked MW,8,11bo$4bo3bo5bo3bo$3bobo11bobo$3bobo11bobo$2obobob9obobob2o$2obo15bob2o$3bo15bo$3bobo4bobo4bobo$4b2o3bob2o4b2o$9bo$8b2o!,-11,0,@,4,4b3o11b3o$3b5o9b5o$3b19o$25o$25o$25o$25o$3b19o$3b19o$4b17o$8b4o$8b4o!,-12,0,11bo$4bo3bo5bo3bo$3bobo11bobo$3bobo11bobo$2obobob9obobob2o$2obo15bob2o$3bo15bo$3bobo4bobo4bobo$4b2o3bob2o4b2o$9bo$8b2o2$8b2o$7bobo$8bo!,-11,0,,,
